timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
99220480,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
99720470,5.2609863,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
100230635,5.2754884,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
100730468,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
101220541,5.2916017,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
101720511,5.2916017,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
102220596,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
102720469,5.2980466,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
103230585,5.2674317,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
103730469,5.294824,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
104230468,5.280322,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
104720470,5.2754884,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
105220469,5.2722654,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
105720567,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
106221130,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
106720653,5.270654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
107230472,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
107730542,5.2916017,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
108220469,5.2770996,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
108720556,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
109220468,5.2980466,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
109720551,5.294824,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
110220469,5.294824,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
110730469,5.264209,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
111220473,5.309326,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
111720469,5.304492,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
112220510,5.2819333,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
112721313,5.2819333,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
113220636,5.293213,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
113720479,5.283545,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
