timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
85210567,85210567,41,0,0,0,1498,1447,1192,1472,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
85712806,85712806,41,0,0,0,1510,1438,1194,1476,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
86215785,86215785,41,0,0,0,1497,1428,1197,1482,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
86712510,86712510,41,0,0,0,1502,1429,1203,1484,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
87709903,87709903,41,0,0,0,1446,1447,1203,1468,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
88211972,88211972,41,0,0,0,1496,1437,1193,1471,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
88721545,88721545,41,0,0,0,1495,1438,1194,1474,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
89217828,89217828,41,0,0,0,1482,1433,1215,1478,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
89730080,89730080,41,0,0,0,1494,1435,1198,1470,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
90222946,90222946,41,0,0,0,1484,1462,1188,1465,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
90716217,90716217,41,0,0,0,1462,1483,1189,1459,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
91221119,91221119,41,0,0,0,1434,1480,1203,1452,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
91711970,91711970,41,0,0,0,1462,1482,1205,1448,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
92209834,92209834,41,0,0,0,1452,1474,1210,1443,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
92710338,92710338,41,0,0,0,1477,1483,1204,1434,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
93208014,93208014,41,0,0,0,1487,1475,1206,1429,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
93725211,93725211,41,0,0,0,1495,1450,1206,1426,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
94213238,94213238,41,0,0,0,1460,1446,1203,1429,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
94709017,94709017,41,0,0,0,1447,1482,1194,1416,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
95219943,95219943,41,0,0,0,1497,1424,1197,1415,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
95721267,95721267,41,0,0,0,1496,1451,1239,1472,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
96221345,96221345,41,0,0,0,1572,1458,1201,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
96712108,96712108,41,0,0,0,1537,1468,1212,1492,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
97214782,97214782,41,0,0,0,1508,1430,1178,1462,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
97721500,97721500,41,0,0,0,1598,1462,1203,1460,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
98221131,98221131,41,0,0,0,1623,1382,1205,1483,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
98719274,98719274,41,0,0,0,1617,1416,1181,1487,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
99218039,99218039,41,0,0,0,1582,1396,1214,1482,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
99712898,99712898,41,0,0,0,1597,1381,1215,1489,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
100227903,100227903,41,0,0,0,1533,1407,1203,1491,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
100726652,100726652,41,0,0,0,1564,1444,1200,1489,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
