timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
34048339,34047663,4325386,0.00089899614,0.0020966744,-0.010753217,0.34906584,1.7440476e-08,1.7404492e-08,3.9186666e-08,4259850,-0.111756206,0.009480639,0.04345309,0.4,0.00019107954,0.00019164325,5.0142135e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34251157,34250464,4325386,0.0008893842,0.002099307,-0.010725729,0.34906584,1.7344865e-08,1.7307864e-08,3.9102712e-08,4259850,-0.11155961,0.011425315,0.043257754,0.4,0.00018814823,0.00018873815,5.0033377e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34458459,34457773,4325386,0.0008751903,0.0020933875,-0.010654226,0.34906584,1.7177367e-08,1.713962e-08,3.885317e-08,4259850,-0.11075535,0.013339544,0.043035347,0.4,0.00018445544,0.00018506772,4.9716e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34584883,34584156,4325386,0.00088268716,0.0021111835,-0.010742604,0.34906584,1.7336255e-08,1.7297372e-08,3.918162e-08,4259850,-0.111693285,0.01345332,0.043402743,0.4,0.00018600184,0.00018663977,5.0138447e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34665970,34665218,4325386,0.00087675516,0.0021251217,-0.010778629,0.34906584,1.73267e-08,1.728759e-08,3.9320916e-08,4259850,-0.11206184,0.015507811,0.043487683,0.4,0.00018417103,0.0001848163,5.0319704e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34872918,34872434,4325386,0.000868282,0.0021337927,-0.010776107,0.34906584,1.7286563e-08,1.7246983e-08,3.9362483e-08,4259850,-0.11205414,0.017553393,0.043567523,0.4,0.00018187922,0.00018253975,5.0378344e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35071408,35070809,4325386,0.0008600011,0.0021140964,-0.010673163,0.34906584,1.7142286e-08,1.7101565e-08,3.897855e-08,4259850,-0.11092696,0.017394708,0.043253608,0.4,0.00018012256,0.0001808171,4.9902974e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35080222,35079743,4325386,0.0008507027,0.0021218515,-0.010685233,0.34906584,1.7081845e-08,1.7041838e-08,3.902377e-08,4259850,-0.11093539,0.019424686,0.04328884,0.4,0.00017790668,0.00017858563,4.9959635e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35283636,35282544,4325386,0.0008380307,0.0021217568,-0.01066709,0.34906584,1.6982753e-08,1.6942128e-08,3.8924966e-08,4259850,-0.11056488,0.021383647,0.043172464,0.4,0.00017509251,0.00017579322,4.984805e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35490575,35489807,4325386,0.00082218164,0.0021138906,-0.010614832,0.34906584,1.682771e-08,1.6786618e-08,3.8685254e-08,4259850,-0.109799616,0.023266057,0.042936016,0.4,0.00017173494,0.00017245479,4.95694e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35616498,35616155,4325386,0.00082930294,0.0021327059,-0.010711856,0.34906584,1.6989066e-08,1.6946878e-08,3.9017685e-08,4259850,-0.110731356,0.023474483,0.043382857,0.4,0.00017322929,0.00017397557,5.0006743e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35698794,35697274,4325386,0.0008210225,0.0021445118,-0.010758477,0.34906584,1.6979124e-08,1.693681e-08,3.9153907e-08,4259850,-0.11092244,0.025560033,0.043621786,0.4,0.00017152757,0.00017227944,5.019494e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35900585,35899918,4325386,0.00080353377,0.002132488,-0.010674036,0.34906584,1.6793813e-08,1.6751153e-08,3.8836173e-08,4259850,-0.10977278,0.027336406,0.043478932,0.4,0.00016796975,0.00016873829,4.982588e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36103479,36102864,4325386,0.0007942507,0.0021405064,-0.010698567,0.34906584,1.6776472e-08,1.6733075e-08,3.8903007e-08,4259850,-0.109752886,0.029304631,0.043672577,0.4,0.00016613399,0.00016692566,4.9949012e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36310595,36310033,4325386,0.0007851463,0.002147772,-0.010720172,0.34906584,1.6758687e-08,1.67149e-08,3.8955953e-08,4259850,-0.10970369,0.03120008,0.043833375,0.4,0.00016434367,0.00016514798,5.0067897e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36522657,36521890,4325386,0.00077989243,0.0021635487,-0.010791854,0.34906584,1.681033e-08,1.6765522e-08,3.9159417e-08,4259850,-0.110049024,0.03309758,0.04416346,0.4,0.00016326204,0.00016409252,5.039024e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36662201,36661552,4325386,0.0007727377,0.0021431667,-0.010684322,0.34906584,1.6666775e-08,1.6621367e-08,3.8754987e-08,4259850,-0.10904414,0.032784533,0.043693952,0.4,0.00016170408,0.00016255525,4.991813e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
