timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,connected,source,priority,id,is_powering_off,warning
347230491,22.150846,22.028975,19.1329,22.188507,0.0,860.9825,1.0,1.0,nan,4,5.5072436,5.5072436,5.5072436,5.5072436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
347830493,22.413334,22.032804,22.1508,22.842709,0.0,864.8152,1.0,1.0,nan,4,5.508201,5.508201,5.508201,5.508201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
348130688,22.238342,22.008013,21.0374,23.009354,0.0,866.75494,1.0,1.0,nan,4,5.502003,5.502003,5.502003,5.502003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
348430493,21.946692,22.02613,19.396599,21.096268,0.0,868.31555,1.0,1.0,nan,4,5.5065327,5.5065327,5.5065327,5.5065327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
348730490,22.194595,22.038902,22.8247,21.559643,0.0,870.1519,1.0,1.0,nan,4,5.5097256,5.5097256,5.5097256,5.5097256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
349030491,21.742537,22.036757,18.0488,21.783514,0.0,872.00793,1.0,1.0,nan,4,5.509189,5.509189,5.509189,5.509189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
349330490,21.217566,22.043074,20.0998,21.154215,0.0,873.70605,1.0,1.0,nan,4,5.5107684,5.5107684,5.5107684,5.5107684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
349630943,21.815449,21.984861,24.5241,21.891438,0.0,875.59045,1.0,1.0,nan,4,5.4962153,5.4962153,5.4962153,5.4962153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
349930661,22.121683,21.982897,21.6234,22.413824,0.0,877.52686,1.0,1.0,nan,4,5.495724,5.495724,5.495724,5.495724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
350230489,22.019606,21.977585,23.8795,23.183699,0.0,879.5361,1.0,1.0,nan,4,5.494396,5.494396,5.494396,5.494396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
350830921,22.209177,22.01248,22.5024,21.820265,0.0,883.0219,1.0,1.0,nan,4,5.50312,5.50312,5.50312,5.50312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
351130539,22.04877,22.01041,23.205599,21.5903,0.0,884.78076,1.0,1.0,nan,4,5.5026026,5.5026026,5.5026026,5.5026026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
351430501,21.75712,21.92671,24.4655,22.807922,0.0,886.8036,1.0,1.0,nan,4,5.4816775,5.4816775,5.4816775,5.4816775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
351730493,21.59671,21.895967,23.9674,23.693666,0.0,888.8728,1.0,1.0,nan,4,5.473992,5.473992,5.473992,5.473992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
352030549,22.092518,21.933784,20.51,22.430696,0.0,890.6448,1.0,1.0,nan,4,5.483446,5.483446,5.483446,5.483446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
352330513,22.092518,21.978111,20.1877,21.495197,0.0,892.3456,1.0,1.0,nan,4,5.494528,5.494528,5.494528,5.494528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
352630492,22.194595,21.998075,20.392801,20.933445,0.0,894.03076,1.0,1.0,nan,4,5.499519,5.499519,5.499519,5.499519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
352930546,21.59671,22.004803,22.2973,21.213465,0.0,895.8191,1.0,1.0,nan,4,5.5012007,5.5012007,5.5012007,5.5012007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
353230515,22.092518,21.978258,25.3152,22.227554,0.0,897.7621,1.0,1.0,nan,4,5.4945645,5.4945645,5.4945645,5.4945645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
353830494,21.786283,21.971241,19.3673,22.277252,0.0,901.61804,1.0,1.0,nan,4,5.4928102,5.4928102,5.4928102,5.4928102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
354130527,21.800867,21.983507,19.513802,21.908882,0.0,903.409,1.0,1.0,nan,4,5.495877,5.495877,5.495877,5.495877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
354430504,21.567545,21.967342,23.5572,22.459223,0.0,905.31195,1.0,1.0,nan,4,5.4918356,5.4918356,5.4918356,5.4918356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
354730489,22.194595,21.955637,23.0298,22.97449,0.0,907.28375,1.0,1.0,nan,4,5.4889092,5.4889092,5.4889092,5.4889092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
355030524,22.077934,21.965904,21.4476,22.272667,0.0,909.0756,1.0,1.0,nan,4,5.491476,5.491476,5.491476,5.491476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
355330493,22.136265,21.958485,21.887098,21.953064,0.0,910.8733,1.0,1.0,nan,4,5.489621,5.489621,5.489621,5.489621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
355630489,21.815449,21.948137,23.0884,22.38846,0.0,912.77856,1.0,1.0,nan,4,5.4870343,5.4870343,5.4870343,5.4870343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
355930520,21.961273,21.959913,25.0515,22.61398,0.0,914.679,1.0,1.0,nan,4,5.4899783,5.4899783,5.4899783,5.4899783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
356230844,21.75712,21.966599,22.004301,22.523958,0.0,916.56116,1.0,1.0,nan,4,5.4916496,5.4916496,5.4916496,5.4916496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
356830516,22.121683,21.936832,21.506199,21.89732,0.0,920.2296,1.0,1.0,nan,4,5.484208,5.484208,5.484208,5.484208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
357131108,22.238342,21.948704,21.4183,21.362564,0.0,921.95874,1.0,1.0,nan,4,5.487176,5.487176,5.487176,5.487176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
357430499,22.384169,21.930973,24.1432,22.412354,0.0,923.9146,1.0,1.0,nan,4,5.4827433,5.4827433,5.4827433,5.4827433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
357730518,22.209177,21.921957,25.784,23.413101,0.0,925.96155,1.0,1.0,nan,4,5.4804893,5.4804893,5.4804893,5.4804893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
358030492,22.034187,21.898897,23.0884,23.784521,0.0,927.9952,1.0,1.0,nan,4,5.4747243,5.4747243,5.4747243,5.4747243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
358330488,22.063353,21.918016,21.4769,22.940977,0.0,929.8263,1.0,1.0,nan,4,5.479504,5.479504,5.479504,5.479504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
358630517,21.480051,21.923693,20.597898,22.208948,0.0,931.605,1.0,1.0,nan,4,5.480923,5.480923,5.480923,5.480923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
